Date,BTC Open,BTC Close,ETH Open,ETH Close,LTC Open,LTC Close,XRP Open,XRP Close,USDT Open,USDT Close
1/3/2020,7335.05,7551.26,133.72,135.59,41.53,42.33,0.1971,0.2006,0.997,0.9984
1/2/2020,7538.05,7335.05,136.78,133.72,43.45,41.53,0.2024,0.1971,0.997,0.997
1/1/2020,7493.73,7538.05,134.85,136.78,43.08,43.45,0.2008,0.2024,0.9963,0.997
12/31/2019,7537.49,7493.73,136.77,134.85,44.07,43.08,0.2006,0.2008,0.9966,0.9963
12/30/2019,7680.49,7537.49,139.51,136.77,44.86,44.07,0.2049,0.2006,0.9988,0.9966
12/29/2019,7645.68,7680.49,133.94,139.51,44.71,44.86,0.2024,0.2049,0.9979,0.9987
12/28/2019,7595,7645.68,132.64,133.94,42.99,44.71,0.1989,0.2024,0.9987,0.9979
12/27/2019,7596.96,7595,132.31,132.64,41.91,42.99,0.2,0.1989,0.9986,0.9987
12/26/2019,7578.7,7596.96,131.03,132.31,42.07,41.91,0.1967,0.2,0.9986,0.9986
12/25/2019,7594.43,7578.7,133.84,131.03,42.13,42.07,0.1996,0.1967,0.9992,0.9986
12/24/2019,7638,7594.43,133.23,133.84,42.42,42.13,0.1975,0.1996,0.9996,0.9992
12/23/2019,7843.8,7638,138.01,133.23,43.65,42.42,0.206,0.1975,1.0006,0.9996
12/22/2019,7494.5,7843.8,133.32,138.01,41.61,43.65,0.2005,0.206,1.0004,1.0006
12/21/2019,7525.93,7494.5,134.29,133.32,41.97,41.61,0.2041,0.2005,1.0003,1.0004
12/20/2019,7526.66,7525.93,134.54,134.29,41.84,41.97,0.1973,0.2041,0.9997,1.0003
12/19/2019,7708,7526.66,140.2,134.54,43.08,41.84,0.2073,0.1973,1.0011,0.9997
12/18/2019,7028.96,7708,130.04,140.2,39.23,43.08,0.194,0.2073,0.9987,1.0011
12/17/2019,7305.62,7028.96,140.31,130.04,42.26,39.23,0.2171,0.194,0.9983,0.9989
12/16/2019,7463.68,7305.62,149.5,140.31,45.62,42.26,0.2278,0.2171,0.9993,0.9983
12/15/2019,7439.07,7463.68,148.95,149.5,45.61,45.62,0.2274,0.2278,0.9996,0.9993
12/14/2019,7573.24,7439.07,151.1,148.95,46.29,45.61,0.2303,0.2274,0.9993,0.9996
12/13/2019,7521.83,7573.24,151.75,151.1,45.64,46.29,0.228,0.2303,0.9987,0.9993
12/12/2019,7518.57,7521.83,149.09,151.75,45.46,45.64,0.2301,0.228,0.9991,0.9987
12/11/2019,7524.29,7518.57,151.39,149.09,45.74,45.46,0.2311,0.2301,0.9996,0.9991
12/10/2019,7633.94,7524.29,152.99,151.39,46.25,45.74,0.2325,0.2311,0.9992,0.9996
12/9/2019,7782.49,7633.94,155.53,152.99,47.08,46.25,0.2367,0.2325,1.0017,0.9992
12/8/2019,7786.41,7782.49,152.69,155.53,46.95,47.08,0.2354,0.2367,1.0015,1.0017
12/7/2019,7810.25,7786.41,153.52,152.69,46.92,46.95,0.2328,0.2354,1.0014,1.0015
12/6/2019,7652.99,7810.25,152.81,153.52,46.38,46.92,0.2282,0.2328,1.0004,1.0014
12/5/2019,7505.85,7652.99,150.77,152.81,46.43,46.38,0.2222,0.2282,1,1.0004
12/4/2019,7614.53,7505.85,153.59,150.77,46.77,46.43,0.2299,0.2222,1.0011,1
12/3/2019,7642.92,7614.53,155.78,153.59,47.65,46.77,0.23,0.2299,1.0014,1.0011
12/2/2019,7734.33,7642.92,157.47,155.78,49.66,47.65,0.2346,0.23,1.0012,1.0014
12/1/2019,7857.98,7734.33,158.01,157.47,49.17,49.66,0.2345,0.2346,1.001,1.0012
11/30/2019,8007.56,7857.98,159.7,158.01,50.41,49.17,0.2378,0.2345,1.0009,1.001
11/29/2019,7742.98,8007.56,156.82,159.7,48.76,50.41,0.2333,0.2378,1.0014,1.0009
11/28/2019,7820.31,7742.98,158.68,156.82,49.6,48.76,0.2337,0.2333,1.0007,1.0014
11/27/2019,7480,7820.31,153.6,158.68,49.1,49.6,0.2299,0.2337,1.001,1.0007
11/26/2019,7505.4,7480,153.7,153.6,48.08,49.1,0.2298,0.2299,1.001,1.001
11/25/2019,7377.69,7505.4,149.23,153.7,46.93,48.08,0.2354,0.2298,1.0008,1.001
11/24/2019,7801.78,7377.69,161.78,149.23,51.18,46.93,0.2491,0.2354,1.0012,1.0008
11/23/2019,7710.38,7801.78,158.43,161.78,50.15,51.18,0.2435,0.2491,1.0011,1.0012
11/22/2019,7975.45,7710.38,168.12,158.43,52.92,50.15,0.2544,0.2435,0.9984,1.0011
11/21/2019,8356.28,7975.45,180.67,168.12,56.86,52.92,0.2588,0.2544,0.9982,0.9984
11/20/2019,8461.79,8356.28,182.64,180.67,57.15,56.86,0.2644,0.2588,0.9985,0.9982
11/19/2019,8521,8461.79,185.29,182.64,58.3,57.15,0.2618,0.2644,0.998,0.9988
11/18/2019,8792,8521,189.75,185.29,61.11,58.3,0.2721,0.2618,0.9999,0.998
11/17/2019,8774.37,8792,188.76,189.75,60.02,61.11,0.2709,0.2721,0.9994,0.9999
11/16/2019,8747.81,8774.37,186.44,188.76,59.56,60.02,0.2689,0.2709,0.999,0.9994
11/15/2019,8903.94,8747.81,190.05,186.44,60.76,59.56,0.2762,0.2689,0.9986,0.999
11/14/2019,9025.99,8903.94,193.45,190.05,62.74,60.76,0.2787,0.2762,0.998,0.9986
11/13/2019,9049,9025.99,191.4,193.45,62.74,62.74,0.2787,0.2787,0.9992,0.998
11/12/2019,8961.37,9049,189.11,191.4,63.51,62.74,0.2811,0.2787,0.9985,0.9992
11/11/2019,9234.61,8961.37,192.64,189.11,64.96,63.51,0.2843,0.2811,0.9998,0.9985
11/10/2019,9035.16,9234.61,189.13,192.64,63.36,64.96,0.2858,0.2843,0.9995,0.9998
11/9/2019,9008.33,9035.16,188.29,189.13,61.7,63.36,0.2817,0.2858,0.9988,0.9995
11/8/2019,9343,9008.33,189.21,188.29,62.26,61.7,0.2946,0.2817,0.9992,0.9988
11/7/2019,9393.69,9343,191.68,189.21,63.91,62.26,0.3103,0.2946,0.9998,0.9992
11/6/2019,9360.37,9393.69,189.47,191.68,63.13,63.91,0.3014,0.3103,1.001,0.9998
11/5/2019,9461.18,9360.37,187.01,189.47,61.71,63.13,0.3015,0.3014,1.0017,1.001
11/4/2019,9303.77,9461.18,184.3,187.01,58.95,61.71,0.2942,0.3015,1.0008,1.0017
11/3/2019,9384.05,9303.77,184.94,184.3,58.93,58.95,0.2979,0.2942,1.0011,1.0008
11/2/2019,9333.89,9384.05,184.94,184.94,58.91,58.93,0.2948,0.2979,1.001,1.0011
11/1/2019,9240.74,9333.89,184.28,184.94,59.14,58.91,0.298,0.2948,1.0007,1.001
10/31/2019,9243.48,9240.74,184.16,184.28,58.47,59.14,0.2971,0.298,1.0011,1.0007
10/30/2019,9416.38,9243.48,190.53,184.16,60,58.47,0.3025,0.2971,1.0019,1.0011
10/29/2019,9254.73,9416.38,182.74,190.53,58.08,60,0.2965,0.3025,1.0018,1.0019
10/28/2019,9560.93,9254.73,184.14,182.74,59.95,58.08,0.2989,0.2965,1.0025,1.0018
10/27/2019,9283.85,9560.93,179.75,184.14,57.04,59.95,0.2953,0.2989,1.0031,1.0025
10/26/2019,8871.09,9283.85,185.54,179.75,58.21,57.04,0.3053,0.2953,1.0009,1.0031
10/25/2019,7789.01,8871.09,168.27,185.54,51.92,58.21,0.2898,0.3053,1.0014,1.0009
10/24/2019,7841.04,7789.01,170.32,168.27,51.92,51.92,0.2862,0.2898,1.0003,1.0014
10/23/2019,8268.25,7841.04,176.12,170.32,54.96,51.92,0.2995,0.2862,1.0007,1.0003
10/22/2019,8450.06,8268.25,179.07,176.12,56.21,54.96,0.3008,0.2995,1.0017,1.0007
10/21/2019,8460.12,8450.06,180.39,179.07,56.45,56.21,0.3031,0.3008,1.0013,1.0017
10/20/2019,8228.87,8460.12,177.82,180.39,55.55,56.45,0.3013,0.3031,1.0007,1.0013
10/19/2019,8227.1,8228.87,178.94,177.82,54.98,55.55,0.3041,0.3013,1.0008,1.0007
10/18/2019,8326.69,8227.1,182.39,178.94,56.43,54.98,0.3105,0.3041,1.0004,1.0008
10/17/2019,8246.69,8326.69,180.27,182.39,54.14,56.43,0.293,0.3105,1,1.0004
10/16/2019,8380.77,8246.69,185.16,180.27,56.01,54.14,0.296,0.293,1.0003,1
10/15/2019,8564.69,8380.77,191.5,185.16,58.26,56.01,0.3048,0.296,1.0005,1.0003
10/14/2019,8552.77,8564.69,186.49,191.5,57.94,58.26,0.2865,0.3048,1.0001,1.0005
10/13/2019,8535.13,8552.77,184.74,186.49,57.29,57.94,0.2793,0.2865,1.0006,1.0001
10/12/2019,8451.11,8535.13,184.1,184.74,56.78,57.29,0.273,0.2793,1.0006,1.0006
10/11/2019,8676.26,8451.11,193.3,184.1,58.21,56.78,0.2738,0.273,1.003,1.0006
10/10/2019,8626.65,8676.26,194.48,193.3,59.6,58.21,0.2829,0.2738,1.0015,1.003
10/9/2019,8312.79,8626.65,183.86,194.48,58.03,59.6,0.2816,0.2829,1.0008,1.0015
10/8/2019,8432.7,8312.79,185.19,183.86,59.13,58.03,0.2841,0.2816,1.002,1.0008
10/7/2019,8155.73,8432.7,176.79,185.19,56.71,59.13,0.2643,0.2841,1.001,1.002
10/6/2019,8382.1,8155.73,181.04,176.79,58.29,56.71,0.2608,0.2643,1.0021,1.001
10/5/2019,8413.91,8382.1,181.06,181.04,58.24,58.29,0.2602,0.2608,1.0019,1.0021
10/4/2019,8493.48,8413.91,180.46,181.06,58.2,58.24,0.2546,0.2602,1.0022,1.0019
10/3/2019,8632.85,8493.48,185.77,180.46,58.19,58.2,0.2606,0.2546,1.0023,1.0022
10/2/2019,8581.54,8632.85,181.74,185.77,57.56,58.19,0.2565,0.2606,1.0027,1.0023
10/1/2019,8544.62,8581.54,186.33,181.74,57.77,57.56,0.2646,0.2565,1.0022,1.0027
9/30/2019,8328.39,8544.62,175.44,186.33,55.85,57.77,0.2483,0.2646,1.0009,1.0022
9/29/2019,8495.44,8328.39,179.29,175.44,57.17,55.85,0.25,0.2483,1.0013,1.0009
9/28/2019,8433.72,8495.44,178.86,179.29,57.58,57.17,0.2491,0.25,1.002,1.0013
9/27/2019,8287.78,8433.72,170.52,178.86,56.68,57.58,0.2493,0.2491,0.9999,1.002
9/26/2019,8671.22,8287.78,174.93,170.52,59.21,56.68,0.2531,0.2493,1.0005,0.9999
9/25/2019,8886.07,8671.22,173.56,174.93,57.02,59.21,0.2438,0.2531,1.0028,1.0005
9/24/2019,9937.4,8886.07,206.02,173.56,68.33,57.02,0.2746,0.2438,0.9993,1.0028
9/23/2019,10228.06,9937.4,214.94,206.02,73.64,68.33,0.2814,0.2746,0.9999,0.9993
9/22/2019,10172.63,10228.06,219.21,214.94,74.38,73.64,0.2947,0.2814,0.9998,0.9999
9/21/2019,10334.01,10172.63,221.49,219.21,76.26,74.38,0.2987,0.2947,1,0.9998
9/20/2019,10400.14,10334.01,224.04,221.49,77.83,76.26,0.3057,0.2987,1.0025,1
9/19/2019,10302.86,10400.14,213.37,224.04,79,77.83,0.3173,0.3057,1.0002,1.0025
9/18/2019,10342.82,10302.86,210.87,213.37,75.09,79,0.2894,0.3173,1.0006,1.0002
9/17/2019,10374.25,10342.82,199.11,210.87,73.39,75.09,0.2641,0.2894,1.0017,1.0006
9/16/2019,10412.85,10374.25,191.6,199.11,70.94,73.39,0.2632,0.2641,1.001,1.0017
9/15/2019,10475.09,10412.85,189.82,191.6,71.44,70.94,0.265,0.2632,1.0024,1.001
9/14/2019,10467,10475.09,182.89,189.82,69.78,71.44,0.2582,0.265,1.0021,1.0024
9/13/2019,10553.28,10467,183.24,182.89,70.18,69.78,0.2583,0.2582,1.0014,1.0021
9/12/2019,10336.47,10553.28,181.28,183.24,70.93,70.18,0.2598,0.2583,1.0008,1.0014
9/11/2019,10292.12,10336.47,183.1,181.28,71.93,70.93,0.2633,0.2598,0.9991,1.0008
9/10/2019,10475.23,10292.12,183.89,183.1,71.14,71.93,0.263,0.2633,1.0008,0.999
9/9/2019,10543.31,10475.23,183.84,183.89,71.4,71.14,0.2664,0.263,1.002,1.0008
9/8/2019,10644.25,10543.31,180.59,183.84,69.88,71.4,0.2645,0.2664,1.0018,1.002
